	Gene	merge1
179	AT1G02680.Araport11.447	896
180	AT1G02690.Araport11.447	1159
181	AT1G02700.Araport11.447	26
182	AT1G02705.Araport11.447	12
183	AT1G02710.Araport11.447	0
184	AT1G02720.Araport11.447	439
185	AT1G02730.Araport11.447	249
186	AT1G02740.Araport11.447	389
187	AT1G02750.Araport11.447	493
188	AT1G02770.Araport11.447	19
189	AT1G02780.Araport11.447	36268
190	AT1G02790.Araport11.447	4
191	AT1G02800.Araport11.447	4
192	AT1G02810.Araport11.447	393
193	AT1G02813.Araport11.447	8
194	AT1G02816.Araport11.447	2859
195	AT1G02820.Araport11.447	3
196	AT1G02830.Araport11.447	5
197	AT1G02840.Araport11.447	3458
198	AT1G02850.Araport11.447	2070
199	AT1G02860.Araport11.447	635
200	AT1G02870.Araport11.447	986
201	AT1G02880.Araport11.447	1260
202	AT1G02890.Araport11.447	1423
203	AT1G02900.Araport11.447	11033
204	AT1G02910.Araport11.447	482
205	AT1G02920.Araport11.447	1656
206	AT1G02930.Araport11.447	470
207	AT1G02940.Araport11.447	4
208	AT1G02950.Araport11.447	632
209	AT1G02960.Araport11.447	480
210	AT1G02965.Araport11.447	3
211	AT1G02970.Araport11.447	284
212	AT1G02980.Araport11.447	10
213	AT1G02990.Araport11.447	426
214	AT1G03000.Araport11.447	144
215	AT1G03010.Araport11.447	143
216	AT1G03020.Araport11.447	1
217	AT1G03030.Araport11.447	1006
218	AT1G03040.Araport11.447	982
219	AT1G03050.Araport11.447	9
220	AT1G03055.Araport11.447	6
221	AT1G03060.Araport11.447	337
222	AT1G03070.Araport11.447	89
223	AT1G03080.Araport11.447	1104
224	AT1G03090.Araport11.447	1067
225	AT1G03100.Araport11.447	102
226	AT1G03103.Araport11.447	0
227	AT1G03106.Araport11.447	35
228	AT1G03110.Araport11.447	1107
229	AT1G03120.Araport11.447	15
230	AT1G03130.Araport11.447	229
231	AT1G03140.Araport11.447	1657
232	AT1G03150.Araport11.447	1532
233	AT1G03160.Araport11.447	245
234	AT1G03165.Araport11.447	2
235	AT1G03170.Araport11.447	14
236	AT1G03180.Araport11.447	282
237	AT1G03190.Araport11.447	184
238	AT1G03200.Araport11.447	45
239	AT1G03210.Araport11.447	1973
240	AT1G03220.Araport11.447	44068
241	AT1G03230.Araport11.447	1802
242	AT1G03240.Araport11.447	24
243	AT1G03250.Araport11.447	605
244	AT1G03260.Araport11.447	357
245	AT1G03270.Araport11.447	124
246	AT1G03280.Araport11.447	1079
247	AT1G03290.Araport11.447	735
248	AT1G03300.Araport11.447	0
249	AT1G03310.Araport11.447	82
250	AT1G03320.Araport11.447	1
251	AT1G03325.Araport11.447	0
252	AT1G03330.Araport11.447	1915
253	AT1G03340.Araport11.447	69
254	AT1G03350.Araport11.447	904
255	AT1G03360.Araport11.447	1048
256	AT1G03365.Araport11.447	290
257	AT1G03370.Araport11.447	294
258	AT1G03380.Araport11.447	776
259	AT1G03390.Araport11.447	0
260	AT1G03395.Araport11.447	0
261	AT1G03400.Araport11.447	71
262	AT1G03410.Araport11.447	2242
263	AT1G03430.Araport11.447	474
264	AT1G03440.Araport11.447	149
265	AT1G03445.Araport11.447	11
266	AT1G03457.Araport11.447	849
267	AT1G03470.Araport11.447	96
268	AT1G03475.Araport11.447	653
269	AT1G03490.Araport11.447	1
270	AT1G03495.Araport11.447	18
271	AT1G03510.Araport11.447	52
272	AT1G03520.Araport11.447	229
